SDSS_ID continuum continuum_lines powerlaw_exp powerlaw_norm
1095-52521-0500 5.877074450815211e-13 6.04753708696392e-13 -1.1980348042798334 142934.6052534508
0385-51877-0391 2.884517239187623e-13 3.0452024184773787e-13 -0.8432333511966225 4292.652288720274
0384-51821-0431 1.2560042015143133e-12 1.302485058519915e-12 -1.2382755005480683 418305.4873399675
0383-51818-0507 5.116782886235353e-13 5.406941046606797e-13 -1.7483102043247272 8775810.468410065
0383-51818-0142 9.203782356918956e-13 9.465719995379544e-13 -0.8341104101907245 12740.716326671289
0384-51821-0503 6.431255638723828e-13 6.687679589709212e-13 -1.4605910289864328 1205387.8835657204
0383-51818-0494 3.491881933576829e-13 3.735512773381071e-13 -1.2282798949027252 107564.76668879521
0384-51821-0438 5.566143132694683e-13 5.921771719841439e-13 -1.2798179190835115 256312.16849323708
0681-52199-0206 3.3851048874226985e-13 3.5716218894079334e-13 -1.5011126552924658 867877.348067292
0383-51818-0152 3.283842533947938e-13 3.500086047318472e-13 -1.2624663914157208 132084.7018303369
0383-51818-0228 8.864039647823124e-13 9.7704891713654e-13 -1.3886810944256518 951667.0691030114
0384-51821-0065 3.63366336435233e-13 3.8914455505402714e-13 -0.7560266153244123 2704.828659425904
0384-51821-0051 8.340590620591281e-13 8.709534083971694e-13 -1.7433250335669832 13769480.650000481
1095-52521-0076 1.1145441493169207e-12 1.1593425955113978e-12 -1.3442948498650624 847709.6438633932
0383-51818-0203 3.738812636346153e-13 3.947429626001438e-13 -1.503632234092931 977400.4654281737
0384-51821-0521 1.0785183403812304e-12 1.1728174800414017e-12 -1.9363706578089273 77620827.3922203
1094-52524-0523 1.291145900874152e-12 1.3513625064243148e-12 -1.3280346098468034 865401.2528612486
0682-52525-0331 5.286604464339757e-13 5.526688699782168e-13 -1.1071508411759132 63095.12658892364
0384-51821-0348 1.3976853432039602e-12 1.4438648811498092e-12 -1.962055362490034 122264935.36835256
0385-51877-0426 4.868338960119816e-13 5.150079474062957e-13 -1.091997465710761 51587.36041282918
0383-51818-0521 5.931794946620145e-13 6.123373421241552e-13 -1.4439890299165956 977714.4560793607
0384-51821-0232 1.4153750838128844e-12 1.5247035787450358e-12 -1.7913662513654653 33739771.43085324
0383-51818-0365 1.4337115006450565e-12 1.510796280267442e-12 -1.564642619947102 6001008.893029615
0383-51818-0114 7.391303208008264e-13 8.155667631721129e-13 -1.7468023348276231 12531405.92715304
0384-51821-0595 1.7369414807549763e-12 1.8302150403212572e-12 -1.7881990274900346 40415301.72881143
0681-52199-0174 1.2213185837887719e-12 1.3049237714195681e-12 -1.7935903216787825 29612771.974932216
0384-51821-0119 1.074278435142592e-12 1.1302064032300232e-12 -1.251020024774395 395195.8623796317
